iter	Passed	Remaining
0	3	735
1	6	661
2	9	643
3	12	630
4	15	617
5	18	611
6	21	603
7	24	597
8	27	591
9	30	586
10	33	583
11	36	577
12	39	572
13	42	568
14	45	565
15	48	562
16	51	558
17	54	554
18	57	552
19	61	549
20	64	547
21	67	544
22	70	540
23	73	538
24	76	536
25	79	531
26	82	529
27	85	525
28	88	521
29	91	519
30	94	515
31	97	512
32	100	509
33	103	505
34	106	502
35	109	498
36	112	494
37	115	491
38	118	489
39	121	485
40	124	482
41	127	479
42	130	477
43	133	474
44	136	471
45	140	468
46	142	465
47	145	462
48	148	458
49	151	455
50	154	452
51	157	449
52	160	445
53	163	443
54	166	439
55	169	436
56	172	433
57	175	430
58	178	427
59	181	424
60	184	421
61	187	418
62	190	414
63	193	411
64	196	408
65	200	406
66	203	403
67	205	399
68	208	396
69	212	393
70	215	390
71	217	387
72	221	384
73	224	381
74	227	378
75	229	375
76	232	372
77	235	369
78	238	365
79	241	362
80	245	359
81	248	357
82	251	354
83	254	351
84	257	348
85	260	345
86	263	342
87	266	339
88	269	336
89	272	333
90	275	330
91	278	327
92	281	324
93	285	321
94	288	318
95	291	316
96	294	313
97	298	310
98	301	307
99	304	304
100	307	301
101	310	298
102	313	295
103	316	292
104	319	288
105	322	285
106	325	282
107	328	279
108	331	276
109	334	273
110	337	270
111	340	267
112	343	264
113	345	260
114	348	257
115	351	254
116	354	251
117	357	248
118	360	245
119	363	242
120	366	239
121	369	236
122	372	233
123	375	230
124	378	227
125	381	224
126	384	221
127	387	218
128	391	215
129	393	212
130	396	209
131	399	206
132	402	202
133	405	199
134	408	196
135	411	193
136	414	190
137	417	187
138	420	184
139	423	181
140	426	178
141	429	175
142	432	172
143	435	169
144	438	166
145	441	163
146	444	160
147	447	157
148	450	154
149	453	151
150	456	148
151	459	145
152	462	142
153	465	138
154	468	135
155	471	132
156	474	129
157	477	126
158	480	123
159	481	120
160	484	117
161	487	114
162	490	111
163	493	108
164	496	105
165	499	102
166	502	99
167	505	96
168	508	93
169	511	90
170	514	87
171	517	84
172	520	81
173	523	78
174	526	75
175	529	72
176	532	69
177	535	66
178	538	63
179	541	60
180	544	57
181	547	54
182	549	51
183	553	48
184	555	45
185	558	42
186	561	39
187	564	36
188	568	33
189	570	30
190	573	27
191	577	24
192	579	21
193	583	18
194	586	15
195	589	12
196	592	9
197	595	6
198	598	3
199	601	0
